Region,Announcement,Announcement post,Open,Open post,Days between,Opening year,AZs at launch,AZs now,Global AZs at launch,Third AZ,Third AZ year,AZ notes,Days until 3rd AZ,Predicted Opening Year,Calculated Opening (based on trendline),Earliest expected opening date,Days between predicted best case,Last expected opening date,Days between predicted worst case,Notes
North Virginia,,,2006-08-25,https://aws.amazon.com/blogs/aws/amazon_ec2_beta/,0,2006,1,6,,2008-03-26,2008,6 since 2017-07-19,579,,,,,,,https://www.allthingsdistributed.com/2008/03/on_the_road_to_highly_availabl.html
Ireland,,,2007-11-05,"https://aws.amazon.com/blogs/aws/amazon-ec2-crosses-the-atlantic/ documentation says 2017 though, so they count https://www.allthingsdistributed.com/2007/11/amazon_s3_in_europe.html",0,2007,2,3,,2011-08-08,2011,,1372,,,,,,,"Technically speaking, 0 AZs at launch as only S3. Third AZ is a guess"
California,,,2009-12-03,https://aws.amazon.com/blogs/aws/expanding-the-aws-footprint/,0,2009,2,3,,2013-08-08,2013,,1344,,,,,,,"Third AZ is a guess. Before 2014, but after 2012. https://www.slideshare.net/AmazonWebServices/running-microsoft-sharepoint-on-aws-smarttronix-and-aws-webinar/8-AWS_Regions_and_Availability_Zones"
Singapore,2009-11-12,https://aws.amazon.com/about-aws/whats-new/2009/11/12/aws-asia/,2010-04-28,https://aws.amazon.com/blogs/aws/now-open-aws-region-in-asia-pacific/,167,2010,2,3,,2018-01-23,2018,,2827,,,,,,,
Tokyo,,,2011-03-02,https://aws.amazon.com/blogs/aws/now-open-aws-region-in-tokyo/ ,0,2011,2,4,,2012-09-13,2012,Osaka,561,,,,,,,
Govcloud,,,2011-08-16,https://aws.amazon.com/blogs/aws/new-aws-govcloud-us-region/,0,2011,2,3,,2018-03-08,2018,,2396,,,,,,,
Oregon,,,2011-11-09,https://aws.amazon.com/blogs/aws/now-open-us-west-portland-region/,0,2011,2,4,,2013-03-03,2013,4 since 2019-02-22,480,,,,,,,
Sao Paulo,,,2011-12-14,https://aws.amazon.com/blogs/aws/now-open-south-america-sao-paulo-region-ec2-s3-and-lots-more/,0,2011,2,3,,2015-03-24,2015,,1196,,,,,,,
Sydney,,,2012-11-12,https://aws.amazon.com/blogs/aws/asia-pacific-sydney-region-open/,0,2012,2,3,,2016-02-11,2016,,1186,,,,,,,
China Beijing,2013-12-18,https://aws.amazon.com/blogs/aws/coming-soon-new-china-beijing-region/,2014-01-01,?,14,2014,2,2,,,0,,,,,,,,,
Frankfurt,,,2014-10-23,https://aws.amazon.com/blogs/aws/aws-region-germany/,0,2014,2,3,,2017-06-16,2017,,967,,,,,,,
Seoul,2015-11-04,https://aws.amazon.com/blogs/aws/next-stop-korea/,2016-01-06,https://aws.amazon.com/blogs/aws/now-open-aws-asia-pacific-seoul-region,63,2016,2,3,32,2019-05-17,2019,,1227,,,,,,,
Mumbai,2015-06-30,https://aws.amazon.com/blogs/aws/in-the-works-aws-region-in-india/,2016-06-27,https://aws.amazon.com/blogs/aws/now-open-aws-asia-pacific-mumbai-region,363,2016,2,3,35,2019-05-16,2019,,1053,,,,,,,
Ohio,,Can't find the pre-announcement,2016-10-17,https://aws.amazon.com/blogs/aws/now-open-aws-us-east-ohio-region,0,2016,3,3,38,2016-10-17,2016,,0,,,,,,,
Canada,2016-01-13,https://aws.amazon.com/blogs/aws/in-the-works-aws-region-in-canada/,2016-12-08,https://aws.amazon.com/blogs/aws/now-open-aws-canada-central-region/,330,2016,2,2,40,2020-03-30,2020,,1208,,,,,,,
London,2015-11-05,https://www.allthingsdistributed.com/2015/11/aws-announces-uk-region.html,2016-12-13,https://aws.amazon.com/blogs/aws/now-open-aws-london-region/,404,2016,2,3,42,2018-01-15,2018,,398,,,,,,,
China Ningxia,,Pre-announcement links all point to global infrastructure page,2017-12-11,https://aws.amazon.com/blogs/aws/now-open-aws-china-ningxia-region,0,2017,2,3,,2018-05-11,2018,,151,,,,,,,
Paris,2016-09-28,https://aws.amazon.com/blogs/aws/coming-in-2017-new-aws-region-in-france,2017-12-18,https://aws.amazon.com/blogs/aws/now-open-aws-eu-paris-region/,446,2017,3,3,49,2017-12-18,2017,,0,,,,,,,
Govcloud east,2017-06-13,https://aws.amazon.com/blogs/aws/aws-govcloud-us-heads-east-new-region-in-the-works-for-2018/ ,2018-11-12,https://aws.amazon.com/blogs/aws/aws-govcloud-us-east-now-open/,517,2018,3,3,,2018-11-12,2018,,0,,,,,,,
Stockholm,2017-04-04,https://aws.amazon.com/blogs/aws/coming-in-2018-new-aws-region-in-sweden/,2018-12-12,https://aws.amazon.com/blogs/aws/now-open-aws-europe-stockholm-region/ ,617,2018,3,3,60,2018-12-12,2018,,0,,,,,,,
Hong Kong,2017-06-20,https://aws.amazon.com/blogs/aws/in-the-works-aws-region-in-hong-kong/,2019-04-25,https://aws.amazon.com/blogs/aws/now-open-aws-asia-pacific-hong-kong-region/,674,2019,3,3,,2019-04-25,2019,,0,,,,,,,
